Interval=	1 s
ExcelDateTime=	4,5609415636936072e+004	2024-11-13 9:58:31,031277
TimeFormat=	StartOfFile
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	5,000 V	5,000 V	5,000 V	5,000 V	5,000 V	5,000 V	5,000 V	5,000 V
UnitName=	mN	mN	mN	mN	mN	mN	mN	mN
TopValue=	389,56	420,58	416,00	442,17	411,96	419,04	439,32	519,62
BottomValue=	-390,30	-422,63	-416,32	-443,27	-413,49	-418,45	-438,19	-522,63
0	-5,66	-5,95	-8,91	-6,97	2,98	9,27	17,59	-5,07
1	-5,56	-5,95	-8,91	-6,87	2,98	9,26	17,58	-5,05
2	-5,57	-5,97	-8,93	-6,84	2,96	9,26	17,58	-5,05
3	-5,55	-5,87	-8,91	-6,86	2,98	9,28	17,64	-5,07
4	-0,01	0,19	0,23	-0,11	2,99	9,30	17,70	-4,92
5	-0,01	0,20	0,23	-0,12	2,96	9,26	17,62	-4,96
6	0,01	0,19	0,19	-0,11	2,98	9,39	17,75	-4,96
7	-0,01	0,20	0,23	-0,09	2,98	9,38	17,73	-4,91
8	0,01	0,19	0,20	-0,12	2,96	9,38	17,75	-4,86
9	0,01	0,19	0,22	-0,09	-0,08	0,07	-0,09	-0,01
10	-0,01	0,20	0,22	-0,11	-0,09	0,08	-0,09	0,01
11	-0,03	0,29	0,19	-0,09	-0,09	0,08	-0,12	0,03
12	-0,01	0,28	0,22	-0,12	-0,08	0,08	-0,11	0,14
13	-0,02	0,29	0,22	0,01	-0,09	0,07	-0,09	0,14
14	0,01	0,32	0,23	-0,09	-0,11	0,08	-0,09	0,14
15	-0,01	0,28	0,19	-0,09	-0,11	0,07	0,04	0,27
16	-0,01	0,29	0,32	0,01	-0,09	0,07	0,02	0,25
17	0,02	0,29	0,33	0,02	-0,07	0,20	0,04	0,29
18	-0,02	0,29	0,32	0,01	-0,12	0,19	0,03	0,38
19	0,02	0,40	0,31	-0,01	-0,09	0,18	0,02	0,40
20	-0,02	0,40	0,33	0,13	-0,07	0,18	0,02	0,43
21	0,01	0,38	0,32	0,09	-0,11	0,18	-0,01	0,40
22	0,01	0,38	0,33	0,10	-0,08	0,16	0,11	0,40
23	0,01	0,40	0,32	0,13	-0,08	0,18	0,11	0,50
24	0,02	0,41	0,31	0,12	-0,08	0,18	0,13	0,51
25	0,09	0,42	0,32	0,12	-0,07	0,18	0,11	0,50
26	0,09	0,41	0,41	0,13	-0,08	0,20	0,11	0,51
27	0,09	0,41	0,44	0,12	-0,07	0,25	0,11	0,51
28	0,09	0,42	0,41	0,13	-0,08	0,31	0,11	0,65
29	0,09	0,38	0,44	0,12	-0,09	0,28	0,11	0,65
30	-0,01	0,40	0,41	0,12	-0,07	0,28	0,24	0,65
31	0,01	0,40	0,42	0,13	-0,09	0,28	0,25	0,66
32	0,08	0,40	0,42	0,09	-0,09	0,28	0,22	0,66
33	0,01	0,37	0,44	0,12	0,06	0,27	0,24	0,65
34	0,01	0,41	0,40	0,12	0,02	0,29	0,21	0,79
35	-0,01	0,41	0,42	0,12	0,02	0,29	0,22	0,79
36	0,09	0,38	0,44	0,14	0,03	0,29	0,24	0,79
37	0,08	0,36	0,40	0,21	0,01	0,29	0,24	0,78
38	0,09	0,38	0,42	0,20	-0,00	0,28	0,21	0,79
39	0,07	0,38	0,41	0,13	-0,00	0,29	0,24	0,74
40	-0,02	0,37	0,40	0,12	0,01	0,28	0,20	0,76
41	0,02	0,38	0,41	0,13	0,02	0,29	0,24	0,79
42	-0,01	0,38	0,41	0,12	0,03	0,31	0,24	0,92
43	0,02	0,37	0,41	0,10	0,01	0,28	0,24	0,87
44	-0,01	0,41	0,42	0,14	0,03	0,29	0,33	0,92
45	-0,01	0,38	0,42	0,12	0,02	0,31	0,35	0,89
46	-0,01	0,37	0,41	0,10	0,01	0,27	0,30	0,92
47	-0,02	0,41	0,44	0,10	0,01	0,27	0,32	0,87
48	-0,01	0,40	0,44	0,12	0,01	0,33	0,30	0,89
49	-0,01	0,27	0,42	0,10	0,02	0,29	0,32	0,89
50	0,01	0,28	0,41	0,14	0,02	0,39	0,35	1,02
51	-0,01	0,29	0,41	0,12	0,03	0,39	0,33	1,04
52	-0,01	0,27	0,41	0,21	0,02	0,37	0,32	1,04
53	0,07	0,27	0,42	0,21	0,03	0,40	0,33	0,99
54	0,01	0,29	0,41	0,10	0,05	0,40	0,33	1,04
55	-0,03	0,28	0,40	0,10	-0,00	0,39	0,32	1,04
56	-0,01	0,28	0,41	0,23	0,02	0,40	0,46	1,04
57	0,01	0,29	0,42	0,21	0,02	0,40	0,35	1,05
58	-0,02	0,27	0,44	0,24	-0,00	0,39	0,44	1,02
59	-0,01	0,29	0,41	0,23	0,03	0,39	0,43	1,04
60	-0,01	0,28	0,44	0,12	0,03	0,31	0,43	1,17
61	-0,01	0,28	0,40	0,12	-0,00	0,28	0,43	1,17
62	0,02	0,29	0,41	0,12	0,01	0,29	0,44	1,15
